[2022/08/16 08:21:15] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:21:15] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.641103). Number of funcation evaluation: 9, found largest slope: 17.676471710205078
[2022/08/16 08:21:15] - [-] 3 th iter: Global minimum: 5.073378 (estimated lower bound: -3.489330). Number of funcation evaluation: 21, found largest slope: 57.20791244506836
[2022/08/16 08:21:15] - [-] 4 th iter: Global minimum: 5.073378 (estimated lower bound: 2.219142). Number of funcation evaluation: 27, found largest slope: 57.20791244506836
[2022/08/16 08:21:15] - [-] 5 th iter: Global minimum: 4.565057 (estimated lower bound: 0.932030). Number of funcation evaluation: 47, found largest slope: 72.81734466552734
[2022/08/16 08:21:15] - [-] 6 th iter: Global minimum: 4.565057 (estimated lower bound: 3.354048). Number of funcation evaluation: 59, found largest slope: 72.81734466552734
[2022/08/16 08:21:15] - [-] 7 th iter: Global minimum: 4.478776 (estimated lower bound: -3.948770). Number of funcation evaluation: 85, found largest slope: 506.7439880371094
[2022/08/16 08:21:15] - [-] 8 th iter: Global minimum: 4.478776 (estimated lower bound: 1.669594). Number of funcation evaluation: 95, found largest slope: 506.7439880371094
[2022/08/16 08:21:15] - [-] 9 th iter: Global minimum: 4.386913 (estimated lower bound: 1.142078). Number of funcation evaluation: 111, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 10 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 119, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 11 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 131, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 12 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 135, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 13 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 145, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 14 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 153, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 15 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 163, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 16 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 173, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 17 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 179, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 18 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 197, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 19 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 203, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 20 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 219, found largest slope: 585.3308715820312
[2022/08/16 08:21:15] - [-] 21 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 225, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 22 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 241, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 23 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 251, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 24 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 267, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 25 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 275, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 26 th iter: Global minimum: 4.160707 (estimated lower bound: -5.573799). Number of funcation evaluation: 295, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 27 th iter: Global minimum: 4.160707 (estimated lower bound: 0.915872). Number of funcation evaluation: 307, found largest slope: 585.3308715820312
[2022/08/16 08:21:16] - [-] 28 th iter: Global minimum: 4.150403 (estimated lower bound: 0.905568). Number of funcation evaluation: 319, found largest slope: 585.3308715820312
