[2022/08/16 08:17:34] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:17:34] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.665103). Number of funcation evaluation: 7, found largest slope: 17.51612663269043
[2022/08/16 08:17:34] - [-] 3 th iter: Global minimum: 5.068150 (estimated lower bound: -2.832147). Number of funcation evaluation: 13, found largest slope: 52.782310485839844
[2022/08/16 08:17:34] - [-] 4 th iter: Global minimum: 5.068150 (estimated lower bound: 2.434718). Number of funcation evaluation: 15, found largest slope: 52.782310485839844
[2022/08/16 08:17:34] - [-] 5 th iter: Global minimum: 4.924515 (estimated lower bound: 1.272671). Number of funcation evaluation: 21, found largest slope: 73.19450378417969
[2022/08/16 08:17:34] - [-] 6 th iter: Global minimum: 4.924515 (estimated lower bound: 3.707233). Number of funcation evaluation: 27, found largest slope: 73.19450378417969
[2022/08/16 08:17:34] - [-] 7 th iter: Global minimum: 4.659957 (estimated lower bound: 3.211796). Number of funcation evaluation: 33, found largest slope: 87.07717895507812
[2022/08/16 08:17:34] - [-] 8 th iter: Global minimum: 4.659957 (estimated lower bound: 4.177237). Number of funcation evaluation: 39, found largest slope: 87.07717895507812
[2022/08/16 08:17:34] - [-] 9 th iter: Global minimum: 4.659957 (estimated lower bound: 3.791414). Number of funcation evaluation: 45, found largest slope: 470.0255126953125
[2022/08/16 08:17:34] - [-] 10 th iter: Global minimum: 4.537026 (estimated lower bound: 3.668483). Number of funcation evaluation: 57, found largest slope: 470.0255126953125
[2022/08/16 08:17:34] - [-] 11 th iter: Global minimum: 4.519969 (estimated lower bound: 4.230455). Number of funcation evaluation: 65, found largest slope: 470.0255126953125
[2022/08/16 08:17:34] - [-] 12 th iter: Global minimum: 4.473324 (estimated lower bound: -3.343565). Number of funcation evaluation: 77, found largest slope: 470.0255126953125
[2022/08/16 08:17:34] - [-] 13 th iter: Global minimum: 4.473324 (estimated lower bound: 1.867694). Number of funcation evaluation: 81, found largest slope: 470.0255126953125
[2022/08/16 08:17:34] - [-] 14 th iter: Global minimum: 4.473324 (estimated lower bound: 3.384031). Number of funcation evaluation: 91, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 15 th iter: Global minimum: 4.368091 (estimated lower bound: 3.278798). Number of funcation evaluation: 101, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 16 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 105, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 17 th iter: Global minimum: 4.352760 (estimated lower bound: 3.989663). Number of funcation evaluation: 115, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 18 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 119, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 19 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 127, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 20 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 129, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 21 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 131, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 22 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 137, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 23 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 139, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 24 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 145, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 25 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 151, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 26 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 155, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 27 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 163, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 28 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 165, found largest slope: 589.48779296875
[2022/08/16 08:17:34] - [-] 29 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 167, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 30 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 173, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 31 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 175, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 32 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 183, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 33 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 185, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 34 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 191, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 35 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 193, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 36 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 197, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 37 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 199, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 38 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 203, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 39 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 207, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 40 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 209, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 41 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 211, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 42 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 213, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 43 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 223, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 44 th iter: Global minimum: 4.344554 (estimated lower bound: 4.223521). Number of funcation evaluation: 229, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 45 th iter: Global minimum: 4.280826 (estimated lower bound: 3.191532). Number of funcation evaluation: 235, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 46 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 241, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 47 th iter: Global minimum: 4.272249 (estimated lower bound: 3.909151). Number of funcation evaluation: 249, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 48 th iter: Global minimum: 4.272249 (estimated lower bound: 4.151217). Number of funcation evaluation: 253, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 49 th iter: Global minimum: 4.272249 (estimated lower bound: 4.151217). Number of funcation evaluation: 259, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 50 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 265, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 51 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 269, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 52 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 273, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 53 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 275, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 54 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 279, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 55 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 281, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 56 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 289, found largest slope: 589.48779296875
[2022/08/16 08:17:35] - [-] 57 th iter: Global minimum: 4.269334 (estimated lower bound: 4.148301). Number of funcation evaluation: 293, found largest slope: 589.48779296875
