[2022/08/16 08:18:31] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:18:31] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.641103). Number of funcation evaluation: 9, found largest slope: 17.676471710205078
[2022/08/16 08:18:31] - [-] 3 th iter: Global minimum: 5.074289 (estimated lower bound: -2.828538). Number of funcation evaluation: 17, found largest slope: 52.799217224121094
[2022/08/16 08:18:31] - [-] 4 th iter: Global minimum: 5.074289 (estimated lower bound: 2.440014). Number of funcation evaluation: 21, found largest slope: 52.799217224121094
[2022/08/16 08:18:31] - [-] 5 th iter: Global minimum: 4.563556 (estimated lower bound: 0.953461). Number of funcation evaluation: 35, found largest slope: 72.35771942138672
[2022/08/16 08:18:32] - [-] 6 th iter: Global minimum: 4.563556 (estimated lower bound: 3.360191). Number of funcation evaluation: 43, found largest slope: 72.35771942138672
[2022/08/16 08:18:32] - [-] 7 th iter: Global minimum: 4.477068 (estimated lower bound: 0.955257). Number of funcation evaluation: 59, found largest slope: 211.76467895507812
[2022/08/16 08:18:32] - [-] 8 th iter: Global minimum: 4.477068 (estimated lower bound: 3.303131). Number of funcation evaluation: 67, found largest slope: 211.76467895507812
[2022/08/16 08:18:32] - [-] 9 th iter: Global minimum: 4.388034 (estimated lower bound: 1.126330). Number of funcation evaluation: 85, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 10 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 91, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 11 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 103, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 12 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 107, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 13 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 113, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 14 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 125, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 15 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 133, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 16 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 137, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 17 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 149, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 18 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 153, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 19 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 161, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 20 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 165, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 21 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 177, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 22 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 181, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 23 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 185, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 24 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 193, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 25 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 199, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 26 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 203, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 27 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 215, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 28 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 219, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 29 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 227, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 30 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 231, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 31 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 245, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 32 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 253, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 33 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 263, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 34 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 269, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 35 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 273, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 36 th iter: Global minimum: 4.163245 (estimated lower bound: -5.621865). Number of funcation evaluation: 283, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 37 th iter: Global minimum: 4.163245 (estimated lower bound: 0.901542). Number of funcation evaluation: 289, found largest slope: 588.3736572265625
[2022/08/16 08:18:32] - [-] 38 th iter: Global minimum: 4.150485 (estimated lower bound: 0.145451). Number of funcation evaluation: 303, found largest slope: 722.4618530273438
[2022/08/16 08:18:32] - [-] 39 th iter: Global minimum: 4.150485 (estimated lower bound: 2.815474). Number of funcation evaluation: 311, found largest slope: 722.4618530273438
