[2022/08/16 08:16:54] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:16:54] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.665103). Number of funcation evaluation: 7, found largest slope: 17.51612663269043
[2022/08/16 08:16:55] - [-] 3 th iter: Global minimum: 5.068150 (estimated lower bound: -2.832147). Number of funcation evaluation: 13, found largest slope: 52.782310485839844
[2022/08/16 08:16:55] - [-] 4 th iter: Global minimum: 5.068150 (estimated lower bound: 2.434718). Number of funcation evaluation: 15, found largest slope: 52.782310485839844
[2022/08/16 08:16:55] - [-] 5 th iter: Global minimum: 4.924515 (estimated lower bound: 1.272671). Number of funcation evaluation: 21, found largest slope: 73.19450378417969
[2022/08/16 08:16:55] - [-] 6 th iter: Global minimum: 4.924515 (estimated lower bound: 3.707233). Number of funcation evaluation: 27, found largest slope: 73.19450378417969
[2022/08/16 08:16:55] - [-] 7 th iter: Global minimum: 4.659957 (estimated lower bound: 3.211796). Number of funcation evaluation: 33, found largest slope: 87.07717895507812
[2022/08/16 08:16:55] - [-] 8 th iter: Global minimum: 4.659957 (estimated lower bound: 4.177237). Number of funcation evaluation: 39, found largest slope: 87.07717895507812
[2022/08/16 08:16:55] - [-] 9 th iter: Global minimum: 4.659957 (estimated lower bound: 3.791414). Number of funcation evaluation: 45, found largest slope: 470.0255126953125
[2022/08/16 08:16:55] - [-] 10 th iter: Global minimum: 4.537026 (estimated lower bound: 3.668483). Number of funcation evaluation: 57, found largest slope: 470.0255126953125
[2022/08/16 08:16:55] - [-] 11 th iter: Global minimum: 4.519969 (estimated lower bound: 4.230455). Number of funcation evaluation: 65, found largest slope: 470.0255126953125
[2022/08/16 08:16:55] - [-] 12 th iter: Global minimum: 4.473324 (estimated lower bound: -3.343565). Number of funcation evaluation: 73, found largest slope: 470.0255126953125
[2022/08/16 08:16:55] - [-] 13 th iter: Global minimum: 4.473324 (estimated lower bound: 1.867694). Number of funcation evaluation: 77, found largest slope: 470.0255126953125
[2022/08/16 08:16:55] - [-] 14 th iter: Global minimum: 4.473324 (estimated lower bound: 3.384031). Number of funcation evaluation: 87, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 15 th iter: Global minimum: 4.368091 (estimated lower bound: 3.278798). Number of funcation evaluation: 97, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 16 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 101, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 17 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 107, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 18 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 109, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 19 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 117, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 20 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 119, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 21 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 121, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 22 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 127, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 23 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 129, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 24 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 135, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 25 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 141, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 26 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 145, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 27 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 153, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 28 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 155, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 29 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 157, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 30 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 163, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 31 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 165, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 32 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 173, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 33 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 175, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 34 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 181, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 35 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 183, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 36 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 187, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 37 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 189, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 38 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 193, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 39 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 197, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 40 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 199, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 41 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 201, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 42 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 203, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 43 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 209, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 44 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 217, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 45 th iter: Global minimum: 4.356899 (estimated lower bound: 3.993802). Number of funcation evaluation: 221, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 46 th iter: Global minimum: 4.280826 (estimated lower bound: 3.191532). Number of funcation evaluation: 229, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 47 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 235, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 48 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 237, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 49 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 239, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 50 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 243, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 51 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 245, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 52 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 249, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 53 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 251, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 54 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 255, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 55 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 257, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 56 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 261, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 57 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 263, found largest slope: 589.48779296875
[2022/08/16 08:16:55] - [-] 58 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 269, found largest slope: 589.48779296875
[2022/08/16 08:16:56] - [-] 59 th iter: Global minimum: 4.280826 (estimated lower bound: 3.917728). Number of funcation evaluation: 275, found largest slope: 589.48779296875
