[2022/08/16 08:22:49] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:22:49] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.641103). Number of funcation evaluation: 9, found largest slope: 17.676471710205078
[2022/08/16 08:22:49] - [-] 3 th iter: Global minimum: 5.073378 (estimated lower bound: -3.489330). Number of funcation evaluation: 21, found largest slope: 57.20791244506836
[2022/08/16 08:22:49] - [-] 4 th iter: Global minimum: 5.073378 (estimated lower bound: 2.219142). Number of funcation evaluation: 27, found largest slope: 57.20791244506836
[2022/08/16 08:22:49] - [-] 5 th iter: Global minimum: 4.565057 (estimated lower bound: 0.932030). Number of funcation evaluation: 47, found largest slope: 72.81734466552734
[2022/08/16 08:22:49] - [-] 6 th iter: Global minimum: 4.565057 (estimated lower bound: 3.354048). Number of funcation evaluation: 59, found largest slope: 72.81734466552734
[2022/08/16 08:22:49] - [-] 7 th iter: Global minimum: 4.478776 (estimated lower bound: -3.948770). Number of funcation evaluation: 85, found largest slope: 506.7439880371094
[2022/08/16 08:22:49] - [-] 8 th iter: Global minimum: 4.478776 (estimated lower bound: 1.669594). Number of funcation evaluation: 95, found largest slope: 506.7439880371094
[2022/08/16 08:22:49] - [-] 9 th iter: Global minimum: 4.386913 (estimated lower bound: 1.142078). Number of funcation evaluation: 111, found largest slope: 585.3308715820312
[2022/08/16 08:22:49] - [-] 10 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 119, found largest slope: 585.3308715820312
[2022/08/16 08:22:49] - [-] 11 th iter: Global minimum: 4.280527 (estimated lower bound: 3.198915). Number of funcation evaluation: 139, found largest slope: 585.3308715820312
[2022/08/16 08:22:49] - [-] 12 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 145, found largest slope: 585.3308715820312
[2022/08/16 08:22:49] - [-] 13 th iter: Global minimum: 4.274759 (estimated lower bound: 3.914222). Number of funcation evaluation: 163, found largest slope: 585.3308715820312
[2022/08/16 08:22:49] - [-] 14 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 175, found largest slope: 585.3308715820312
[2022/08/16 08:22:49] - [-] 15 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 185, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 16 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 195, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 17 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 201, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 18 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 219, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 19 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 225, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 20 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 239, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 21 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 245, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 22 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 259, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 23 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 265, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 24 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 281, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 25 th iter: Global minimum: 4.274241 (estimated lower bound: 4.154062). Number of funcation evaluation: 289, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 26 th iter: Global minimum: 4.160707 (estimated lower bound: -5.573799). Number of funcation evaluation: 307, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 27 th iter: Global minimum: 4.160707 (estimated lower bound: 0.915872). Number of funcation evaluation: 317, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 28 th iter: Global minimum: 4.150403 (estimated lower bound: 0.905568). Number of funcation evaluation: 329, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 29 th iter: Global minimum: 4.150403 (estimated lower bound: 3.068791). Number of funcation evaluation: 341, found largest slope: 585.3308715820312
[2022/08/16 08:22:50] - [-] 30 th iter: Global minimum: 4.150403 (estimated lower bound: 3.645323). Number of funcation evaluation: 359, found largest slope: 819.9960327148438
[2022/08/16 08:22:50] - [-] 31 th iter: Global minimum: 4.142006 (estimated lower bound: 3.636926). Number of funcation evaluation: 375, found largest slope: 819.9960327148438
[2022/08/16 08:22:50] - [-] 32 th iter: Global minimum: 4.142006 (estimated lower bound: 3.973646). Number of funcation evaluation: 399, found largest slope: 819.9960327148438
