[2022/08/16 08:21:58] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:21:58] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.641103). Number of funcation evaluation: 9, found largest slope: 17.676471710205078
[2022/08/16 08:21:58] - [-] 3 th iter: Global minimum: 5.073378 (estimated lower bound: -3.489330). Number of funcation evaluation: 21, found largest slope: 57.20791244506836
[2022/08/16 08:21:58] - [-] 4 th iter: Global minimum: 5.073378 (estimated lower bound: 2.219142). Number of funcation evaluation: 27, found largest slope: 57.20791244506836
[2022/08/16 08:21:58] - [-] 5 th iter: Global minimum: 4.565057 (estimated lower bound: 0.932030). Number of funcation evaluation: 47, found largest slope: 72.81734466552734
[2022/08/16 08:21:58] - [-] 6 th iter: Global minimum: 4.565057 (estimated lower bound: 3.354048). Number of funcation evaluation: 59, found largest slope: 72.81734466552734
[2022/08/16 08:21:58] - [-] 7 th iter: Global minimum: 4.478776 (estimated lower bound: -3.948770). Number of funcation evaluation: 85, found largest slope: 506.7439880371094
[2022/08/16 08:21:58] - [-] 8 th iter: Global minimum: 4.478776 (estimated lower bound: 1.669594). Number of funcation evaluation: 95, found largest slope: 506.7439880371094
[2022/08/16 08:21:58] - [-] 9 th iter: Global minimum: 4.386913 (estimated lower bound: 1.142078). Number of funcation evaluation: 111, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 10 th iter: Global minimum: 4.361897 (estimated lower bound: 3.280285). Number of funcation evaluation: 119, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 11 th iter: Global minimum: 4.280527 (estimated lower bound: 3.198915). Number of funcation evaluation: 139, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 12 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 145, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 13 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 155, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 14 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 163, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 15 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 173, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 16 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 181, found largest slope: 585.3308715820312
[2022/08/16 08:21:58] - [-] 17 th iter: Global minimum: 4.280527 (estimated lower bound: 3.919990). Number of funcation evaluation: 187, found largest slope: 585.3308715820312
