[2022/08/16 08:20:27] - [-] 1 th iter: Global minimum: 5.286864 (estimated lower bound: -1.415185). Number of funcation evaluation: 5, found largest slope: 14.925583839416504
[2022/08/16 08:20:27] - [-] 2 th iter: Global minimum: 5.286864 (estimated lower bound: 2.641103). Number of funcation evaluation: 9, found largest slope: 17.676471710205078
[2022/08/16 08:20:27] - [-] 3 th iter: Global minimum: 5.074289 (estimated lower bound: -2.828538). Number of funcation evaluation: 17, found largest slope: 52.799217224121094
[2022/08/16 08:20:27] - [-] 4 th iter: Global minimum: 5.074289 (estimated lower bound: 2.440014). Number of funcation evaluation: 21, found largest slope: 52.799217224121094
[2022/08/16 08:20:28] - [-] 5 th iter: Global minimum: 4.563556 (estimated lower bound: 0.953461). Number of funcation evaluation: 35, found largest slope: 72.35771942138672
[2022/08/16 08:20:28] - [-] 6 th iter: Global minimum: 4.563556 (estimated lower bound: 3.360191). Number of funcation evaluation: 43, found largest slope: 72.35771942138672
[2022/08/16 08:20:28] - [-] 7 th iter: Global minimum: 4.477068 (estimated lower bound: 0.955257). Number of funcation evaluation: 59, found largest slope: 211.76467895507812
[2022/08/16 08:20:28] - [-] 8 th iter: Global minimum: 4.477068 (estimated lower bound: 3.303131). Number of funcation evaluation: 67, found largest slope: 211.76467895507812
[2022/08/16 08:20:28] - [-] 9 th iter: Global minimum: 4.388034 (estimated lower bound: 1.126330). Number of funcation evaluation: 85, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 10 th iter: Global minimum: 4.362105 (estimated lower bound: 3.274871). Number of funcation evaluation: 91, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 11 th iter: Global minimum: 4.280527 (estimated lower bound: 3.193293). Number of funcation evaluation: 111, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 12 th iter: Global minimum: 4.280527 (estimated lower bound: 3.918116). Number of funcation evaluation: 117, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 13 th iter: Global minimum: 4.272589 (estimated lower bound: 3.910178). Number of funcation evaluation: 131, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 14 th iter: Global minimum: 4.272589 (estimated lower bound: 4.151785). Number of funcation evaluation: 139, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 15 th iter: Global minimum: 4.272589 (estimated lower bound: 4.151785). Number of funcation evaluation: 147, found largest slope: 588.3736572265625
[2022/08/16 08:20:28] - [-] 16 th iter: Global minimum: 4.272589 (estimated lower bound: 4.151785). Number of funcation evaluation: 151, found largest slope: 588.3736572265625
